price_paid,sold_date,postcode,property_type,new_build,estate_type,saon,paon,street,locality,town,district,county,transaction_category,year,month,day,address,full_address,epc_rating,sqm,council_tax_band,crime_rate,lat,lng,bank_rate,inflation_rate,2_year_95%_LTV,2_year_90%_LTV,2_year_75%_LTV,2_year_60%_LTV,2_year_85%_LTV,regional_employment,regional_gdp,train_station_distance_miles,train_station_name,shopping_mall_distance_miles,shopping_mall_name,leisure_distance_miles,leisure_name,gym_distance_miles,gym_name,park_distance_miles,park_name,proximity_to_london_miles,primary_school_distance_miles,primary_school_name,secondary_school_distance_miles,secondary_school_name,bedrooms,bathrooms,extra_features
1541600.0,2022-08-15,N8 7HE,Terraced,N,Freehold,,54,REDSTON ROAD,,LONDON,HARINGEY,GREATER LONDON,A,2022.0,8.0,15.0,54 REDSTON ROAD,"54, Redston Road, London, Greater London N8 RHE",E,186.0,F,43.38,51.5892033,-0.1292746,1.75,9.9,4.14,3.93,3.6,3.51,3.69,78.0,4523.0,0.46,Alexandra Palace,0.58,The Mall Wood Green,0.25,Park Road Pools & Fitness,0.33,PureGym London Muswell Hill - Upgrade Complete!,0.18,Alexandra Park & Palace,3.52,0.2,Campsbourne School and Extended Services,0.31,Greig City Academy,5.0,2.0,
217000.0,2023-01-30,SE22 8DB,Apartment,N,Leasehold,FLAT 2,STAGSHAW HOUSE,EAST DULWICH ESTATE,,LONDON,SOUTHWARK,GREATER LONDON,B,2023.0,1.0,30.0,FLAT 2 STAGSHAW HOUSE EAST DULWICH ESTATE,"Flat 2, Stagshaw House, East Dulwich Estate, London, Greater London Se22 2DB",D,60.78,A,82.56,51.4635823,-0.0812644999999999,3.5,10.1,6.02,5.66,5.14,5.01,5.26,76.5,,0.09,East Dulwich,0.44,Sky Shopping City,0.29,Dulwich Leisure Centre,0.06,BodyFit Studios Dulwich,0.02,Community Park,2.41,0.09,Dog Kennel Hill Primary School,0.16,The Charter School East Dulwich,1.0,1.0,One BedroomThird Floor FlatReception RoomModern Kitchen & BathroomLeaseholdChain Free
390000.0,2023-08-04,SE22 8EF,Terraced,N,Freehold,FLAT 7,18 - 22,GROVE VALE,,LONDON,SOUTHWARK,GREATER LONDON,A,2023.0,8.0,4.0,FLAT 7 18 - 22 GROVE VALE,"Flat 7, 18 - 22, Grove Vale, London, Greater London Se22 7EF",D,140.0,C,99.2,51.4614667,-0.0800288,5.25,6.7,6.93,6.57,6.18,6.21,6.35,76.5,,0.01,East Dulwich,0.47,Sky Shopping City,0.23,Dulwich Leisure Centre,0.03,High Vibe,0.07,Enclosed Dog Exercise Area,2.5,0.08,Goose Green Primary School,0.08,The Charter School East Dulwich,4.0,3.0,"Close to Local AmenitiesGas central heatingClose to East Dulwich and Dulwich Village bordersGood transport linksFreehold Offers in excess of £900,000Viewings NOW by appointment only"
135000.0,2024-05-10,SE1 0BD,Flat,N,Leasehold,FLAT 2,59,GREAT SUFFOLK STREET,,LONDON,SOUTHWARK,GREATER LONDON,A,2024.0,5.0,10.0,FLAT 2 59 GREAT SUFFOLK STREET,"Flat 2, 59, Great Suffolk Street, London, Greater London Se1 2BD",C,69.8,D,209.1,51.5024749,-0.1010717,5.25,4.0,6.06,5.67,5.19,5.01,5.31,,,0.22,Waterloo East,0.28,Borough Yards,0.21,LSBU Active Sports Centre,0.03,TRAINFITNESS,0.07,Nelson Square,1.0,0.08,Friars Primary School,0.33,Oasis Academy South Bank,,,
885000.0,2023-10-24,SE22 8EA,Semi-Detached,N,Freehold,,10A,DERWENT GROVE,,LONDON,SOUTHWARK,GREATER LONDON,A,2023.0,10.0,24.0,10A DERWENT GROVE,"10A, Derwent Grove, London, Greater London Se22 DEA",E,183.0,C,99.2,51.46024999999999,-0.0787699,5.25,4.6,6.6,6.06,5.6,5.52,5.94,76.5,,0.07,East Dulwich,0.49,Sky Shopping City,0.19,Dulwich Leisure Centre,0.04,LevelOut East Dulwich,0.13,St Francis Park,2.56,0.07,Goose Green Primary School,0.06,The Charter School East Dulwich,4.0,2.0,Four double bedroomsWest facing gardenSide accessSash windowsSeparate dining roomClose to transport links
500000.0,2022-10-09,SE1 0BQ,Flat,N,Leasehold,FLAT 205,118,SOUTHWARK BRIDGE ROAD,,LONDON,SOUTHWARK,GREATER LONDON,A,2022.0,10.0,9.0,FLAT 205 118 SOUTHWARK BRIDGE ROAD,"Flat 205, 118, Southwark Bridge Road, London, Greater London Se1 2BQ",B,84.0,D,209.1,51.5012504,-0.0987596999999999,2.25,11.1,6.42,6.2,5.99,5.94,6.17,75.2,21740.0,0.29,Waterloo East,0.27,Borough Yards,0.19,LSBU Active Sports Centre,0.04,Energie Fitness Borough,0.08,Mint Street Park,1.07,0.06,Charles Dickens Primary School,0.37,Oasis Academy South Bank,,,
506000.0,2024-05-02,SE22 8EQ,Terraced,N,Freehold,,73B,GROVE VALE,,LONDON,SOUTHWARK,GREATER LONDON,A,2024.0,5.0,2.0,73B GROVE VALE,"73B, Grove Vale, London, Greater London Se22 GEQ",E,131.0,B,85.3,51.46164960000001,-0.0785671,5.25,4.0,6.06,5.67,5.19,5.01,5.31,,,0.04,East Dulwich,0.44,Sky Shopping City,0.19,Dulwich Leisure Centre,0.06,High Vibe,0.1,"Centre For Wildlife Gardening, London Wildlife Trust",2.52,0.43,Lyndhurst Primary School,0.59,Heron Academy,4.0,2.0,
350000.0,2023-04-12,SE22 8EQ,Terraced,N,Freehold,,37,GROVE VALE,,LONDON,SOUTHWARK,GREATER LONDON,B,2023.0,4.0,12.0,37 GROVE VALE,"37, Grove Vale, London, Greater London Se22 GEQ",E,131.0,C,85.3,51.46164960000001,-0.0785671,4.5,10.1,5.65,5.07,4.6,4.53,4.88,76.5,,0.04,East Dulwich,1.71,Catford Centre,0.19,Dulwich Leisure Centre,0.06,High Vibe,0.1,"Centre For Wildlife Gardening, London Wildlife Trust",2.52,0.04,Goose Green Primary School,0.1,The Charter School East Dulwich,4.0,2.0,
320000.0,2022-04-14,N12 9LS,Flat,N,Leasehold,FLAT 4,DUDLEY COURT,FRIERN PARK,,LONDON,BARNET,GREATER LONDON,A,2022.0,4.0,14.0,FLAT 4 DUDLEY COURT FRIERN PARK,"Flat 4, Dudley Court, Friern Park, London, Greater London N12 4LS",E,59.4,C,51.88,51.6160399,-0.1661571,1.0,9.0,2.95,2.58,2.35,2.25,2.46,70.9,9633.0,0.62,New Southgate,0.65,Friern Bridge Retail Park,1.36,Southgate Leisure Centre,0.26,Friern Fitness,0.15,Friary Park,4.72,0.28,Summerside Primary School,0.14,Wren Academy Finchley,2.0,,2 BedroomsFirst floor apartmentModern kitchenModern bathroomBright and spaciousCommunal gardensAvailable mid-August 2013Council Tax Band C
545000.0,2023-11-17,N8 7FF,Flat,N,Leasehold,FLAT 33,COMPASS COURT,HIGH STREET,,LONDON,HARINGEY,GREATER LONDON,A,2023.0,11.0,17.0,FLAT 33 COMPASS COURT HIGH STREET,"Flat 33, Compass Court, High Street, London, Greater London N8 3FF",B,78.0,C,34.56,51.5887389,-0.1171098,5.25,3.9,6.38,5.81,5.28,5.13,5.65,74.9,,0.17,Hornsey,0.32,The Mall Wood Green,0.42,Park Road Pools & Fitness,0.16,FitnasticUK,0.06,Hornsey Garden of Remembrance,3.53,0.14,St Mary's CE Primary School,0.07,Greig City Academy,,,
170000.0,2022-11-21,N8 7FQ,Flat,N,Leasehold,FLAT 8,MATCHAM COURT,MILES ROAD,,LONDON,HARINGEY,GREATER LONDON,B,2022.0,11.0,21.0,FLAT 8 MATCHAM COURT MILES ROAD,"Flat 8, Matcham Court, Miles Road, London, Greater London N8 8FQ",B,90.0,C,34.56,51.5895351,-0.117972,3.0,10.7,6.59,6.28,5.98,5.82,6.11,78.0,4523.0,0.21,Hornsey,0.31,The Mall Wood Green,0.42,Park Road Pools & Fitness,0.2,FitnasticUK,0.07,Campsbourne Community Food Garden,3.56,0.11,Campsbourne School and Extended Services,0.1,Greig City Academy,,,
1040000.0,2022-09-16,N12 9ED,Terraced,N,Freehold,,16,CASTLE ROAD,,LONDON,BARNET,GREATER LONDON,A,2022.0,9.0,16.0,16 CASTLE ROAD,"16, Castle Road, London, Greater London N12 CED",D,190.0,F,117.0,51.6138467,-0.1735001,2.25,9.9,4.67,4.48,4.17,4.21,4.37,70.9,9633.0,0.81,New Southgate,0.82,Friern Bridge Retail Park,0.29,David Lloyd Finchley,0.06,Yoga Hook Finchley,0.32,Finchley Memorial Hospital Communal Space,4.67,0.04,Sacks Morasha Jewish Primary School,0.17,Wren Academy Finchley,,,
408000.0,2022-11-30,N12 9LN,Flat,N,Leasehold,FLAT 7,"ROSEBAY HOUSE, 124",FRIERN PARK,,LONDON,BARNET,GREATER LONDON,A,2022.0,11.0,30.0,"FLAT 7 ROSEBAY HOUSE, 124 FRIERN PARK","Flat 7, Rosebay House, 124, Friern Park, London, Greater London N12 7LN",D,451.0,D,96.3,51.6156842,-0.166204,3.0,10.7,6.59,6.28,5.98,5.82,6.11,70.9,9633.0,0.62,New Southgate,0.65,Friern Bridge Retail Park,1.37,Southgate Leisure Centre,0.3,Onyx Fitness Ltd,0.16,Friary Park,4.71,0.27,Summerside Primary School,0.12,Wren Academy Finchley,,,
315000.0,2023-08-31,N12 8TJ,Flat,N,Leasehold,FLAT 10,"ORCHARD LODGE, 31",WOODSIDE GROVE,,LONDON,BARNET,GREATER LONDON,A,2023.0,8.0,31.0,"FLAT 10 ORCHARD LODGE, 31 WOODSIDE GROVE","Flat 10, Orchard Lodge, 31, Woodside Grove, London, Greater London N12 1TJ",C,77.0,D,106.3,51.6221287,-0.1795058,5.25,6.7,6.93,6.57,6.18,6.21,6.35,67.8,,0.75,Oakleigh Park,1.08,Friern Bridge Retail Park,1.56,Southgate Leisure Centre,0.18,Blueprint Fitness,0.13,Swan Lane Open Space,5.05,0.03,Dwight School London - Woodside Park (Junior School),0.05,Finchley Catholic High School,,,
330000.0,2023-09-08,N12 9ET,Flat,N,Leasehold,,33A,WOODHOUSE ROAD,,LONDON,BARNET,GREATER LONDON,A,2023.0,9.0,8.0,33A WOODHOUSE ROAD,"33A, Woodhouse Road, London, Greater London N12 WET",D,123.0,C,117.0,51.6121743,-0.1729317,5.25,6.7,6.75,6.37,5.91,5.93,6.14,67.8,,0.8,New Southgate,0.8,Friern Bridge Retail Park,0.33,Finchley Lido Leisure Centre,0.07,Yoga Hook Finchley,0.26,Finchley Memorial Hospital Communal Space,4.59,0.12,Sacks Morasha Jewish Primary School,0.15,Wren Academy Finchley,,,
300000.0,2022-04-01,E14 9GA,Flat,N,Leasehold,FLAT 15,35,SHERWOOD GARDENS,,LONDON,TOWER HAMLETS,GREATER LONDON,B,2022.0,4.0,1.0,FLAT 15 35 SHERWOOD GARDENS,"Flat 15, 35, Sherwood Gardens, London, Greater London E14 1GA",B,73.0,D,86.4,51.4914171,-0.0229494,1.0,9.0,2.95,2.58,2.35,2.25,2.46,72.8,36556.0,0.21,Mudchute,0.51,Jubilee Place,0.21,Tiller Leisure Centre,0.32,Nuffield Health Baltimore Wharf Fitness & Wellbeing Gym,0.23,Millwall Outer Dock Crescent,3.14,0.02,St Edmund's RC Primary School,0.42,George Green's School,,,
705000.0,2023-07-28,E14 9FT,Flat,N,Leasehold,APARTMENT 1043,12,BALTIMORE WHARF,,LONDON,TOWER HAMLETS,GREATER LONDON,A,2023.0,7.0,28.0,APARTMENT 1043 12 BALTIMORE WHARF,"Apartment 1043, 12, Baltimore Wharf, London, Greater London E14 1FT",C,129.0,E,130.1,51.4972398,-0.0157529,5.25,6.8,6.88,6.49,6.22,6.22,6.35,66.2,,0.25,Mudchute,0.13,Castalia Square,0.17,Tiller Leisure Centre,0.0,Nuffield Health Baltimore Wharf Fitness & Wellbeing Gym,0.15,St John's Park,3.28,0.09,River House Montessori School,0.44,George Green's School,,,
1395000.0,2022-12-22,E14 9GG,Flat,Y,Leasehold,APARTMENT 601,1,PARK DRIVE,,LONDON,TOWER HAMLETS,GREATER LONDON,A,2022.0,12.0,22.0,APARTMENT 601 1 PARK DRIVE,"Apartment 601, 1, Park Drive, London, Greater London E14 6GG",B,365.0,F,143.4,51.5021108,-0.0150369,3.5,10.7,6.3,6.0,5.43,5.33,5.57,72.8,36556.0,0.2,Canary Wharf,0.11,Churchill Place Shopping Mall,0.31,Tiller Leisure Centre,0.05,Ultimate Performance Personal Trainers Canary Wharf - Wood Wharf,0.04,Harbour Quay Gardens,3.28,0.17,River House Montessori School,0.55,Langdon Park School,,,
905000.0,2022-11-11,E14 9GG,Flat,Y,Leasehold,APARTMENT 602,1,PARK DRIVE,,LONDON,TOWER HAMLETS,GREATER LONDON,A,2022.0,11.0,11.0,APARTMENT 602 1 PARK DRIVE,"Apartment 602, 1, Park Drive, London, Greater London E14 6GG",B,365.0,E,143.4,51.5021108,-0.0150369,3.0,10.7,6.59,6.28,5.98,5.82,6.11,72.8,36556.0,0.2,Canary Wharf,0.11,Churchill Place Shopping Mall,0.31,Tiller Leisure Centre,0.12,Third Space Canary Wharf,0.04,Harbour Quay Gardens,3.28,0.17,River House Montessori School,0.63,George Green's School,,,
1095000.0,2024-02-28,E2 7BX,Terraced,N,Freehold,,28,WIMBOLT STREET,,LONDON,TOWER HAMLETS,GREATER LONDON,A,2024.0,2.0,28.0,28 WIMBOLT STREET,"28, Wimbolt Street, London, Greater London E2 WBX",C,180.0,E,246.6,51.5295268,-0.0670737,5.25,4.0,5.73,5.26,4.76,4.62,4.99,,,0.25,Hoxton,0.48,Spitalfields Market,0.44,Whitechapel Sports Centre,0.09,BFT Hackney,0.04,Jesus Green,2.11,0.09,Columbia Primary School,0.15,Haggerston School,2.0,1.0,South Facing GardenSide Return ExtensionWood BurnerOriginal Wood Flooring UpstairsLondon FieldsColumbia Road Flower Market
17000.0,2022-03-30,E2 7JB,Maisonette,N,Leasehold,,"GROUND FLOOR, 12",CHANCE STREET,,LONDON,TOWER HAMLETS,GREATER LONDON,B,2022.0,3.0,30.0,"GROUND FLOOR, 12 CHANCE STREET","Ground Floor, 12, Chance Street, London, Greater London E2 FJB",D,114.0,B,188.6,51.5245984,-0.0752402,0.75,7.0,2.8,2.38,2.14,2.01,2.22,72.8,36556.0,0.06,Shoreditch High Street,0.21,Spitalfields Market,0.54,Finsbury Leisure Centre,0.06,Paragon Gym,0.06,Boundary Gardens,1.82,0.08,Virginia Primary School,0.34,Haggerston School,1.0,1.0,Bespoke One Bedroom MaisonetteExcellent Quality of FinishGreat LocationLocated off Redchurch Street
208500.0,2024-06-24,SW11 4GB,Flat,N,Leasehold,APARTMENT 46,"ELMBRIDGE HOUSE, 1",PALMER ROAD,,LONDON,WANDSWORTH,GREATER LONDON,A,2024.0,6.0,24.0,"APARTMENT 46 ELMBRIDGE HOUSE, 1 PALMER ROAD","Apartment 46, Elmbridge House, 1, Palmer Road, London, Greater London Sw11 4GB",B,74.0,D,138.6,51.4787579,-0.1458373,5.25,4.0,6.08,5.66,5.16,5.0,5.3,,,0.09,Battersea Park,0.14,Battersea Power Station,0.58,Latchmere Leisure Centre,0.02,The Gym Group London Battersea,0.04,Prince of Wales Garden,1.25,0.09,Newton Preparatory School,0.45,Pimlico Academy,,,
600000.0,2023-01-16,E14 9HB,Flat,N,Leasehold,FLAT 54,"ABILITY PLACE, 37",MILLHARBOUR,,LONDON,TOWER HAMLETS,GREATER LONDON,B,2023.0,1.0,16.0,"FLAT 54 ABILITY PLACE, 37 MILLHARBOUR","Flat 54, Ability Place, 37, Millharbour, London, Greater London E14 5HB",B,94.0,F,133.8,51.4983321,-0.018126,3.5,10.1,6.02,5.66,5.14,5.01,5.26,66.2,,0.31,Mudchute,0.2,Jubilee Place,0.55,Poplar Baths Leisure Centre and Gym,0.05,F45 Training Canary Wharf Millharbour,0.15,South Quay Walk,3.21,0.02,River House Montessori School,0.52,George Green's School,,,
1038000.0,2022-12-15,SW11 4FX,Flat,Y,Leasehold,APARTMENT 42,"SALISBURY HOUSE, 5",PALMER ROAD,,LONDON,WANDSWORTH,GREATER LONDON,A,2022.0,12.0,15.0,"APARTMENT 42 SALISBURY HOUSE, 5 PALMER ROAD","Apartment 42, Salisbury House, 5, Palmer Road, London, Greater London Sw11 4FX",B,146.0,E,138.6,51.4790459,-0.1464161,3.5,10.7,6.3,6.0,5.43,5.33,5.57,89.2,7716.0,0.1,Battersea Park,0.14,Battersea Power Station,0.57,Latchmere Leisure Centre,0.04,The Gym Group London Battersea,0.04,Prince of Wales Garden,1.24,0.1,Newton Preparatory School,0.45,Pimlico Academy,,,
1110000.0,2022-12-08,SW11 4FY,Flat,Y,Leasehold,APARTMENT 93,"SALISBURY HOUSE, 5",PALMER ROAD,,LONDON,WANDSWORTH,GREATER LONDON,A,2022.0,12.0,8.0,"APARTMENT 93 SALISBURY HOUSE, 5 PALMER ROAD","Apartment 93, Salisbury House, 5, Palmer Road, London, Greater London Sw11 9FY",C,156.0,F,138.6,51.4790459,-0.1464161,3.5,10.7,6.3,6.0,5.43,5.33,5.57,89.2,7716.0,0.1,Battersea Park,0.14,Battersea Power Station,0.57,Latchmere Leisure Centre,0.04,Circle8fitness Ltd,0.04,Prince of Wales Garden,1.24,0.1,Newton Preparatory School,1.19,Emanuel School,,,
470000.0,2023-09-25,SE1 2AZ,Apartment,N,Leasehold,FLAT 13,TOWER BRIDGE BUILDINGS,MILL STREET,,LONDON,SOUTHWARK,GREATER LONDON,A,2023.0,9.0,25.0,FLAT 13 TOWER BRIDGE BUILDINGS MILL STREET,"Flat 13, Tower Bridge Buildings, Mill Street, London, Greater London Se1 1AZ",D,69.11,C,110.25,51.5004046,-0.072298,5.25,6.7,6.75,6.37,5.91,5.93,6.14,76.5,,0.37,London Bridge,0.37,Hay's Galleria,0.57,Seven Islands Leisure Centre,0.08,The Circle Gym and Spa,0.19,St. John's Churchyard,1.77,0.14,Tower Bridge Primary School,,,2.0,1.0,Recently Refurbished571 SQFTTwo bedroomsSeparate KitchenLeasehold2nd FloorClose to transport links
1150000.0,2022-10-19,SE22 8HT,Terrace,N,Freehold,,27,TINTAGEL CRESCENT,,LONDON,SOUTHWARK,GREATER LONDON,A,2022.0,10.0,19.0,27 TINTAGEL CRESCENT,"27, Tintagel Crescent, London, Greater London Se22 THT",D,160.0,C,99.2,51.4606741,-0.0766647,2.25,11.1,6.42,6.2,5.99,5.94,6.17,75.2,21740.0,0.1,East Dulwich,0.44,Sky Shopping City,0.14,Dulwich Leisure Centre,0.09,High Vibe,0.16,St Francis Park,2.58,0.04,Goose Green Primary School,0.12,The Charter School East Dulwich,4.0,2.0,Four bedroomsTwo receptionsNewly fitted kitchenUtility roomCloakroomVacant possessionGreat locationEPC Rating: D
638000.0,2024-03-14,E2 7NJ,Maisonette,N,Leasehold,,19,CHAMBORD STREET,,LONDON,TOWER HAMLETS,GREATER LONDON,A,2024.0,3.0,14.0,19 CHAMBORD STREET,"19, Chambord Street, London, Greater London E2 CNJ",C,109.0,C,143.0,51.5274917,-0.0723645,5.25,4.0,5.83,5.39,4.96,4.8,5.16,,,0.19,Hoxton,0.35,Spitalfields Market,0.44,Whitechapel Sports Centre,0.12,Labs Fitness,0.08,Ravenscroft Park,1.94,0.09,Virginia Primary School,0.2,Haggerston School,3.0,2.0,
507500.0,2023-08-22,N8 7LP,Apartment,N,Leasehold,,98A,NORTH VIEW ROAD,,LONDON,HARINGEY,GREATER LONDON,A,2023.0,8.0,22.0,98A NORTH VIEW ROAD,"98A, North View Road, London, Greater London N8 NLP",E,97.0,C,33.8,51.59083039999999,-0.1269846,5.25,6.7,6.93,6.57,6.18,6.21,6.35,74.9,,0.36,Alexandra Palace,0.49,"High Road, Wood Green",0.33,Park Road Pools & Fitness,0.07,Johanna Green Health & Fitness,0.13,Alexandra Park & Palace,3.59,0.14,Campsbourne School and Extended Services,0.28,Greig City Academy,2.0,1.0,Share of FreeholdPrivate EntrancePrivate Garden Backing On To Alexandra PalaceGood Storage Ground FloorLarge Reception RoomLarge Eat in KitchenHornsey Station is within 0.7 miles Alexandra Palace Station is within 0.6 miles
